tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,accepted_answer_id,protected_date
"['airflow', 'great-expectations']","{'account_id': 27364406, 'reputation': 3, 'user_id': 20871507, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/507c628554900c990b1a32303e8c6f5b?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Bazilio', 'link': 'https://stackoverflow.com/users/20871507/bazilio'}",False,36,1,0,1692780926,1692774821,76959079,CC BY-SA 4.0,https://stackoverflow.com/questions/76959079/passing-airflow-dag-configuration-values-to-greatexpectationsoperator-tasks,Passing Airflow DAG Configuration Values to GreatExpectationsOperator Tasks,,,
"['sqlalchemy', 'great-expectations', 'pyathena']","{'account_id': 2848840, 'reputation': 5559, 'user_id': 2446466, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/e27ebb66b649d535a034e7a8a7fb62a8?s=256&d=identicon&r=PG', 'display_name': 'Muhammad Raihan Muhaimin', 'link': 'https://stackoverflow.com/users/2446466/muhammad-raihan-muhaimin'}",False,39,0,0,1691585521,1691511176,76861403,CC BY-SA 4.0,https://stackoverflow.com/questions/76861403/running-great-expectations-in-aws-athena,Running Great Expectations in AWS Athena,1691585521.0,,
"['pyspark', 'databricks', 'delta-lake', 'great-expectations']","{'account_id': 22693389, 'reputation': 298, 'user_id': 16861953, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cca672a2e247fe96a8f42fa520bec266?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'gamezone25', 'link': 'https://stackoverflow.com/users/16861953/gamezone25'}",False,78,0,0,1691399432,1690879246,76809898,CC BY-SA 4.0,https://stackoverflow.com/questions/76809898/great-expectations-bad-performance-on-pyspark-dataframe,Great Expectations bad performance on PySpark DataFrame,1691399432.0,,
"['python-3.x', 'great-expectations']","{'account_id': 28189405, 'reputation': 1, 'user_id': 21545038, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AGNmyxZdTEgbWYGy5eADcvhOK30hFxKoLb2_jEqqyTyg=k-s256', 'display_name': 'Talal Omer Hassan', 'link': 'https://stackoverflow.com/users/21545038/talal-omer-hassan'}",False,35,0,0,1688989056,1688989056,76653349,CC BY-SA 4.0,https://stackoverflow.com/questions/76653349/great-expectation-integration-with-slack,great expectation integration with slack,,,
"['equals', 'pairwise', 'great-expectations', 'expectations']","{'account_id': 26972555, 'reputation': 1, 'user_id': 20538350, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7548f5bcb02a8df66e09d432e256a32d?s=256&d=identicon&r=PG', 'display_name': 'PalBence', 'link': 'https://stackoverflow.com/users/20538350/palbence'}",False,60,0,0,1687857167,1687857167,76563343,CC BY-SA 4.0,https://stackoverflow.com/questions/76563343/great-expectations-expect-column-pair-values-to-not-be-equal,Great Expectations - expect_column_pair_values_to_not_be_equal,,,
"['python', 'amazon-s3', 'great-expectations']","{'account_id': 18246249, 'reputation': 3, 'user_id': 19770213, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhnbXk4QbVlRfrjNfpcM9qOxH1bE1uW3QbsgxDapQ=k-s256', 'display_name': 'Wild Tarzan', 'link': 'https://stackoverflow.com/users/19770213/wild-tarzan'}",False,78,1,0,1689685104,1686959873,76494162,CC BY-SA 4.0,https://stackoverflow.com/questions/76494162/how-can-i-add-more-than-one-s3-folder-in-greatexpectations-as-my-data-asset,How can I add more than one S3 folder in GreatExpectations as my Data Asset?,,,
"['python', 'databricks', 'great-expectations']","{'account_id': 340794, 'reputation': 12206, 'user_id': 671013, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/2d735ca95ae6d53fa8fd9fa79814e514?s=256&d=identicon&r=PG', 'display_name': 'Dror', 'link': 'https://stackoverflow.com/users/671013/dror'}",False,105,0,0,1686041219,1686041219,76412899,CC BY-SA 4.0,https://stackoverflow.com/questions/76412899/unable-to-install-great-expectations-on-a-databricks-notebook-running-python,Unable to install Great Expectations on a Databricks notebook running Python,,,
"['apache-spark', 'pyspark', 'databricks', 'azure-databricks', 'great-expectations']","{'account_id': 28691413, 'reputation': 21, 'user_id': 21970568, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AAcHTtfUFr_sX-XJWrRy9ZZ22ZJBhucrkCGclxIT27-O=k-s256', 'display_name': 'Milind Keer', 'link': 'https://stackoverflow.com/users/21970568/milind-keer'}",False,119,0,2,1685430525,1685189197,76346827,CC BY-SA 4.0,https://stackoverflow.com/questions/76346827/great-expectations-constructor-public-org-apache-spark-sparkconfboolean-is-n,Great_Expectations - Constructor public org.apache.spark.SparkConf(boolean) is not whitelisted,1685430525.0,,
"['python', 'amazon-redshift', 'great-expectations']","{'account_id': 1708006, 'reputation': 698, 'user_id': 1566682, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/e9f29d52d4ccf44ad1644995190da6ba?s=256&d=identicon&r=PG', 'display_name': 'Bill', 'link': 'https://stackoverflow.com/users/1566682/bill'}",True,110,1,0,1684801319,1684522639,76291801,CC BY-SA 4.0,https://stackoverflow.com/questions/76291801/great-expectations-using-schema-name-in-query-for-redshift,Great Expectations using schema name in query for Redshift,,76310600.0,
"['pandas', 'pyspark', 'databricks', 'azure-databricks', 'great-expectations']","{'account_id': 28607044, 'reputation': 3, 'user_id': 21902784, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8c98330296328a6da28e378a8562a571?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'yuki', 'link': 'https://stackoverflow.com/users/21902784/yuki'}",True,161,1,0,1684303406,1684172684,76256676,CC BY-SA 4.0,https://stackoverflow.com/questions/76256676/conditional-expectations-contains-like-functionality-and-error-great-expectatio,Conditional Expectations contains/like functionality and error (great expectations),1684173595.0,76268978.0,
